Designator,Mid X,Mid Y,Rotation,Layer
R48,76.3,2.7,180.0,bottom
R49,76.3,1.3,0.0,bottom
R5,109.89,-16.09,180.0,bottom
R50,66.77,5.4,180.0,bottom
R51,73.05,-3.6,180.0,bottom
R52,73.5,1.3,180.0,bottom
R53,83.974,35.445502,0.0,bottom
R54,83.974,40.988,180.0,bottom
R57,69.92,37.736507,270.0,bottom
R58,69.919996,34.736506,270.0,bottom
R59,130.31,41.585,0.0,top
R6,104.865,7.735,90.0,bottom
R60,130.31,40.26,0.0,top
R61,130.31,38.96,0.0,top
R62,68.79,39.125,180.0,top
R63,68.78,40.424999,180.0,top
R64,68.78,41.725,180.0,top
R65,105.727009,46.355017,180.0,top
R66,105.727016,45.005015,180.0,top
R67,91.39,17.91,0.0,bottom
R68,89.19,17.91,180.0,bottom
R7,100.698002,20.735358,0.0,top
R71,97.79,30.885,180.0,bottom
R72,97.79,31.885,0.0,bottom
R73,109.49,31.61,180.0,top
R74,124.07,41.584999,180.0,bottom
R75,86.99,31.61,180.0,top
R76,124.07,40.584999,0.0,bottom
R77,82.49,42.91,270.0,top
R78,82.489997,40.709993,270.0,top
R79,77.29,42.91,270.0,top
R8,114.49,31.810002,0.0,bottom
R80,77.29,40.710003,270.0,top
R9,113.79,31.859998,180.0,top
SW1,79.89,36.11,180.0,top
U1,86.79,-15.09,180.0,top
U10,82.862002,10.736047,90.0,top
U11,82.861999,-1.263956,90.0,top
U12,95.729998,10.780007,90.0,top
U13,95.779999,-1.223566,90.0,top
U14,78.894004,33.545502,180.0,bottom
U15,78.894,39.088,180.0,bottom
U16,90.29,19.71,0.0,bottom
U2,93.59,-15.09,180.0,top
U3,109.374,-9.942,270.0,bottom
U4,105.59,4.91,0.0,bottom
U5,107.49,1.21,0.0,bottom
U6,116.09,39.01,270.0,top
U7,93.59,39.01,270.0,top
U8,95.680001,22.766004,90.0,top
U9,82.862003,22.736049,90.0,top
X1,116.355,38.91,180.0,bottom
X2,93.805,38.895,180.0,bottom
